Date,Price,Open,High,Low,Change %
Jan 27  2019,55.17,53.38,55.43,51.13,3.51%
Jan 20  2019,53.30,53.67,54.19,51.62,-0.69%
Jan 13  2019,53.67,51.73,53.83,50.38,3.93%
Jan 06  2019,51.64,48.18,53.23,48.02,7.18%
Dec 30  2018,48.18,45.14,49.09,44.23,7.26%
Dec 23  2018,44.92,45.19,46.78,42.22,-0.35%
Dec 16  2018,45.08,51.23,51.84,44.86,-11.90%
Dec 09  2018,51.17,52.08,53.20,50.31,-1.69%
Dec 02  2018,52.05,52.40,54.45,50.02,2.87%
Nov 25  2018,50.60,50.47,52.41,49.34,-0.57%
Nov 18  2018,50.89,56.80,57.38,50.43,-10.42%
Nov 11  2018,56.81,60.69,61.24,54.76,-5.00%
Nov 04  2018,59.80,62.95,64.08,59.24,-4.73%
Oct 28  2018,62.77,67.46,67.85,62.59,-7.01%
Oct 21  2018,67.50,69.52,69.71,65.64,-2.72%
Oct 14  2018,69.39,72.00,72.78,68.53,-3.03%
Oct 07  2018,71.56,74.62,75.41,70.64,-3.95%
Sep 30  2018,74.50,73.58,77.12,73.19,0.98%
Sep 23  2018,73.78,71.58,74.00,71.55,3.78%
Sep 16  2018,71.09,69.11,72.11,68.61,2.78%
Sep 09  2018,69.17,68.14,71.50,67.64,1.47%
Sep 02  2018,68.17,70.44,71.89,67.23,-3.29%
Aug 26  2018,70.49,69.31,71.11,68.88,1.66%
Aug 19  2018,69.34,65.99,70.10,65.65,4.93%
Aug 12  2018,66.08,68.16,68.66,64.69,-3.15%
Aug 05  2018,68.23,69.30,70.56,66.62,-1.71%
Jul 29  2018,69.42,70.00,71.39,67.73,-0.93%
Jul 22  2018,70.07,69.39,71.05,68.78,0.86%
Jul 15  2018,69.47,70.53,70.89,67.08,-1.59%
Jul 08  2018,70.59,73.92,74.73,69.30,-4.61%
Jul 01  2018,74.00,73.72,75.34,72.22,-0.52%
Jun 24  2018,74.39,68.87,74.56,67.86,7.27%
Jun 17  2018,69.35,64.41,69.51,63.59,7.77%
Jun 10  2018,64.35,65.50,67.14,64.28,-1.83%
Jun 03  2018,65.55,65.61,66.17,64.19,-0.24%
May 27  2018,65.71,67.28,68.55,65.45,-2.54%
May 20  2018,67.42,71.36,72.80,67.34,-5.56%
May 13  2018,71.39,70.50,72.30,70.28,1.23%
May 06  2018,70.52,69.88,71.86,67.65,1.06%
Apr 29  2018,69.78,68.16,69.95,66.86,2.65%
Apr 22  2018,67.98,68.17,69.36,67.11,-0.16%
