Date,Price,Open,High,Low,Vol.,Change %
"May 26, 2019",1305.80,"1,283.50","1,306.40","1,273.90",610.24K,1.73%
"May 19, 2019",1283.60,"1,277.60","1,287.10","1,269.00",1.17M,0.62%
"May 12, 2019",1275.70,"1,288.30","1,304.20","1,274.60",1.40M,-0.91%
"May 05, 2019",1287.40,"1,281.80","1,292.80","1,278.10",1.34M,0.48%
"Apr 28, 2019",1281.30,"1,289.00","1,289.40","1,267.30",1.29M,-0.58%
"Apr 21, 2019",1288.80,"1,278.00","1,290.90","1,267.90",1.18M,1.00%
"Apr 14, 2019",1276.00,"1,294.00","1,295.20","1,273.00",1.01M,-1.48%
"Apr 07, 2019",1295.20,"1,295.80","1,314.70","1,292.90",1.14M,-0.03%
"Mar 31, 2019",1295.60,"1,297.20","1,301.70","1,284.90",1.12M,-0.22%
"Mar 24, 2019",1298.50,"1,319.70","1,330.80","1,291.30",1.11M,-1.53%
"Mar 17, 2019",1318.70,"1,308.30","1,326.30","1,304.30",255.37K,0.75%
"Mar 10, 2019",1308.90,"1,305.50","1,317.90","1,297.10",176.70K,0.22%
"Mar 03, 2019",1306.00,"1,301.00","1,307.70","1,287.50",129.65K,0.02%
"Feb 24, 2019",1305.80,"1,336.90","1,341.40","1,297.80",72.66K,-2.51%
"Feb 17, 2019",1339.40,"1,331.10","1,356.00","1,330.00",24.22K,0.82%
"Feb 10, 2019",1328.50,"1,324.60","1,332.20","1,311.30",20.69K,0.26%
"Feb 03, 2019",1325.00,"1,329.00","1,329.50","1,313.20",21.56K,-0.27%
"Jan 27, 2019",1328.60,"1,314.30","1,337.20","1,309.30",35.02K,1.37%
"Jan 20, 2019",1310.60,"1,294.60","1,315.50","1,288.30",28.28K,1.19%
"Jan 13, 2019",1295.20,"1,302.00","1,309.00","1,292.60",23.68K,-0.58%
"Jan 06, 2019",1302.70,"1,298.90","1,310.50","1,293.00",27.47K,0.31%
"Dec 30, 2018",1298.70,"1,294.40","1,312.90","1,291.00",8.61K,0.23%
"Dec 23, 2018",1295.70,"1,276.50","1,296.30","1,274.80",7.08K,1.98%
"Dec 16, 2018",1270.50,"1,252.80","1,282.00","1,252.10",11.68K,1.32%
"Dec 09, 2018",1253.90,"1,269.10","1,269.10","1,249.00",14.42K,-0.89%
"Dec 02, 2018",1265.10,"1,242.50","1,268.30","1,239.40",7.87K,2.20%
"Nov 25, 2018",1237.90,"1,240.80","1,246.40","1,228.90",12.92K,-0.28%
"Nov 18, 2018",1241.40,"1,241.20","1,248.40","1,237.00",7.92K,0.02%
"Nov 11, 2018",1241.20,"1,229.10","1,244.10","1,215.00",28.49K,1.16%
"Nov 04, 2018",1227.00,"1,253.00","1,256.60","1,226.50",12.16K,-1.97%
"Oct 28, 2018",1251.60,"1,253.00","1,257.40","1,231.70",10.19K,-0.20%
"Oct 21, 2018",1254.10,"1,248.60","1,264.00","1,241.60",3.22K,0.58%
"Oct 14, 2018",1246.90,"1,238.60","1,254.80","1,238.60",3.24K,0.56%
"Oct 07, 2018",1240.00,"1,223.10","1,247.70","1,205.00",7.49K,1.34%
"Sep 30, 2018",1223.60,"1,212.90","1,229.50","1,205.80",5.72K,0.86%
"Sep 23, 2018",1213.20,"1,219.80","1,224.90","1,202.00",5.74K,-0.44%
"Sep 16, 2018",1218.60,"1,217.10","1,232.60","1,213.80",4.35K,0.02%
"Sep 09, 2018",1218.40,"1,214.40","1,235.20","1,210.00",5.27K,0.07%
"Sep 02, 2018",1217.60,"1,220.00","1,229.30","1,212.00",1.94K,-0.47%
"Aug 26, 2018",1223.40,"1,229.90","1,236.60","1,220.00",3.71K,-0.56%
"Aug 19, 2018",1230.30,"1,209.60","1,230.70","1,207.00",0.97K,2.43%
"Aug 12, 2018",1201.10,"1,232.70","1,232.70","1,189.30",2.11K,-2.86%
"Aug 05, 2018",1236.40,"1,239.40","1,242.50","1,235.80",0.72K,-0.34%
"Jul 29, 2018",1240.60,"1,246.20","1,250.00","1,234.20",1.70K,-0.76%
"Jul 22, 2018",1250.10,"1,258.80","1,262.00","1,246.50",1.33K,-0.64%
"Jul 15, 2018",1258.10,"1,273.40","1,273.40","1,243.30",2.34K,-0.95%
"Jul 08, 2018",1270.20,"1,286.20","1,295.50","1,265.90",2.89K,-1.17%
"Jul 01, 2018",1285.30,"1,279.80","1,287.90","1,270.00",1.39K,0.05%
"Jun 24, 2018",1284.60,"1,302.90","1,302.90","1,277.50",0.50K,-1.29%
"Jun 17, 2018",1301.40,"1,312.20","1,317.20","1,297.90",1.13K,-0.63%
"Jun 10, 2018",1309.70,"1,335.00","1,340.90","1,309.50",0.88K,-1.84%
"Jun 03, 2018",1334.30,"1,329.10","1,336.00","1,328.00",2.61K,0.23%
"May 27, 2018",1331.20,"1,335.80","1,341.80","1,327.50",1.81K,-0.74%
"May 20, 2018",1341.10,"1,325.70","1,341.30","1,319.50",0.53K,0.92%
"May 13, 2018",1328.90,"1,359.80","1,359.80","1,323.00",0.91K,-2.22%
"May 06, 2018",1359.10,"1,356.40","1,363.50","1,351.60",0.40K,0.44%
"Apr 29, 2018",1353.20,"1,358.00","1,358.00","1,341.50",0.56K,-0.65%
"Apr 22, 2018",1362.10,"1,365.70","1,371.60","1,359.80",0.81K,-1.06%
"Apr 15, 2018",1376.70,"1,386.50","1,393.20","1,375.50",0.46K,-0.70%
"Apr 08, 2018",1386.40,"1,373.60","1,392.90","1,373.60",1.04K,0.87%
"Apr 01, 2018",1374.40,"1,386.00","1,388.00","1,370.80",0.12K,0.70%
"Mar 25, 2018",1364.90,"1,388.00","1,399.20","1,365.20",0.94K,-2.05%
"Mar 18, 2018",1393.40,"1,359.50","1,393.30","1,359.50",0.50K,2.85%
"Mar 11, 2018",1354.80,"1,358.60","1,366.00","1,358.60",0.76K,-0.86%
"Mar 04, 2018",1366.60,"1,370.60","1,376.00","1,365.00",0.46K,0.04%
"Feb 25, 2018",1366.00,"1,361.70","1,361.70","1,349.60",1.19K,-0.41%
"Feb 18, 2018",1371.60,"1,370.90","1,372.20","1,370.90",0.40K,-1.80%
"Feb 11, 2018",1396.70,"1,361.50","1,393.40","1,361.50",0.40K,3.15%
"Feb 04, 2018",1354.00,"1,358.20","1,358.20","1,351.80",0.16K,-1.66%
