Date,Price
2019-01-02,1287.20
2019-01-03,1287.95
2019-01-04,1290.35
2019-01-07,1291.50
2019-01-08,1283.90
2019-01-09,1281.30
2019-01-10,1292.40
2019-01-11,1292.80
2019-01-14,1293.70
2019-01-15,1289.35
2019-01-16,1290.50
2019-01-17,1294.00
2019-01-18,1285.05
2019-01-21,1278.70
2019-01-22,1284.75
2019-01-23,1284.90
2019-01-24,1279.75
2019-01-25,1282.95
2019-01-28,1301.00
2019-01-29,1308.35
2019-01-30,1312.95
2019-01-31,1322.50
2019-02-01,1320.75
2019-02-04,1311.00
2019-02-05,1314.00
2019-02-06,1313.35
2019-02-07,1306.60
2019-02-08,1311.10
2019-02-11,1306.75
2019-02-12,1311.60
2019-02-13,1311.15
2019-02-14,1305.65
2019-02-15,1318.00
2019-02-18,1323.95
2019-02-19,1329.55
2019-02-20,1345.75
2019-02-21,1335.05
2019-02-22,1322.25
2019-02-25,1329.15
2019-02-26,1327.55
2019-02-27,1326.45
2019-02-28,1325.45
2019-03-01,1309.95
2019-03-04,1287.45
2019-03-05,1285.00
2019-03-06,1285.55
2019-03-07,1286.40
2019-03-08,1294.10
2019-03-11,1296.35
2019-03-12,1296.95
2019-03-13,1308.40
2019-03-14,1299.20
2019-03-15,1302.65
2019-03-18,1305.35
2019-03-19,1308.35
2019-03-20,1303.00
2019-03-21,1317.30
2019-03-22,1311.10
2019-03-25,1319.35
2019-03-26,1315.25
2019-03-27,1318.25
2019-03-28,1306.90
2019-03-29,1291.15
2019-04-01,1291.90
2019-04-02,1287.20
2019-04-03,1291.85
2019-04-04,1291.60
2019-04-05,1288.90
2019-04-08,1297.10
2019-04-09,1301.85
2019-04-10,1304.80
2019-04-11,1304.65
2019-04-12,1296.15
2019-04-15,1286.75
2019-04-16,1283.75
2019-04-17,1276.10
2019-04-18,1276.50
2019-04-19,.
2019-04-22,.
2019-04-23,1273.45
2019-04-24,1273.80
2019-04-25,1277.85
2019-04-26,1281.50
2019-04-29,1282.15
2019-04-30,1285.15
2019-05-01,1281.80
2019-05-02,1271.45
2019-05-03,1270.05
2019-05-06,.
2019-05-07,1281.30
2019-05-08,1287.75
2019-05-09,1284.10
2019-05-10,1285.40
2019-05-13,1282.95
2019-05-14,1297.60
2019-05-15,1298.90
2019-05-16,1295.55
2019-05-17,1285.80
2019-05-20,1275.25
2019-05-21,1276.00
2019-05-22,1274.00
2019-05-23,1275.95
2019-05-24,1281.50
2019-05-27,.
2019-05-28,1283.90
2019-05-29,1283.50
2019-05-30,1276.45
2019-05-31,1296.00
2019-06-03,1313.95
2019-06-04,1323.60
2019-06-05,1337.75
2019-06-06,1336.65
2019-06-07,1334.30
2019-06-10,1328.60
2019-06-11,1322.65
2019-06-12,1336.65
2019-06-13,1335.80
2019-06-14,1352.45
2019-06-17,1333.20
2019-06-18,1344.55
2019-06-19,1342.40
2019-06-20,1381.65
2019-06-21,1388.35
2019-06-24,1405.45
2019-06-25,1429.55
2019-06-26,1406.75
2019-06-27,1402.25
2019-06-28,1413.20
2019-07-01,1390.05
2019-07-02,1393.10
2019-07-03,1425.10
2019-07-04,1415.25
2019-07-05,1414.40
2019-07-08,1404.90
2019-07-09,1387.90
2019-07-10,1395.45
2019-07-11,1423.10
2019-07-12,1405.60
2019-07-15,1416.25
2019-07-16,1416.10
2019-07-17,1400.80
2019-07-18,1420.90
2019-07-19,1437.05
2019-07-22,1424.45
2019-07-23,1417.55
2019-07-24,1425.55
2019-07-25,1426.35
2019-07-26,1418.25
2019-07-29,1418.95
2019-07-30,1428.45
2019-07-31,1430.55
2019-08-01,1406.40
2019-08-02,1436.05
2019-08-05,1457.45
2019-08-06,1461.85
2019-08-07,1487.65
2019-08-08,1497.40
2019-08-09,1503.50
2019-08-12,1501.95
2019-08-13,1527.20
2019-08-14,1500.35
2019-08-15,1517.65
2019-08-16,1509.05
2019-08-19,1499.35
2019-08-20,1502.65
2019-08-21,1499.65
2019-08-22,1498.70
2019-08-23,1495.50
2019-08-26,.
2019-08-27,1531.85
2019-08-28,1541.75
2019-08-29,1536.65
2019-08-30,1526.55
2019-09-02,1523.35
2019-09-03,1532.45
2019-09-04,1538.80
2019-09-05,1542.60
2019-09-06,1504.95
2019-09-09,1509.95
2019-09-10,1494.60
2019-09-11,1493.65
2019-09-12,1502.95
2019-09-13,1506.30
2019-09-16,1502.05
2019-09-17,1499.30
2019-09-18,1502.20
2019-09-19,1498.40
2019-09-20,1504.10
2019-09-23,1519.50
2019-09-24,1520.25
2019-09-25,1530.85
2019-09-26,1507.05
2019-09-27,1496.15
2019-09-30,1487.60
2019-10-01,1466.10
2019-10-02,1484.05
2019-10-03,1504.00
2019-10-04,1509.50
2019-10-07,1502.15
2019-10-08,1500.00
2019-10-09,1503.40
2019-10-10,1508.20
2019-10-11,1498.35
2019-10-14,1494.20
2019-10-15,1494.75
2019-10-16,1482.55
2019-10-17,1484.45
2019-10-18,.
2019-10-21,1490.85
2019-10-22,1487.45
2019-10-23,1494.25
2019-10-24,1488.85
2019-10-25,1504.65
2019-10-28,1505.05
2019-10-29,1492.75
2019-10-30,1490.15
2019-10-31,1506.40
2019-11-01,1509.85
2019-11-04,1509.20
2019-11-05,1504.60
2019-11-06,1488.55
2019-11-07,1484.10
2019-11-08,1466.85
2019-11-11,1465.50
2019-11-12,1455.00
2019-11-13,1463.45
2019-11-14,1467.65
2019-11-15,1465.60
2019-11-18,1458.40
2019-11-19,1464.90
2019-11-20,1475.70
2019-11-21,1468.90
2019-11-22,1471.30
2019-11-25,1459.45
2019-11-26,1457.65
2019-11-27,1459.80
