Date,Price
2019-01-02,0.24
2019-01-03,0.15
2019-01-04,0.25
2019-01-07,0.25
2019-01-08,0.27
2019-01-09,0.29
2019-01-10,0.31
2019-01-11,0.28
2019-01-14,0.26
2019-01-15,0.27
2019-01-16,0.3
2019-01-17,0.33
2019-01-18,0.38
2019-01-21,.
2019-01-22,0.31
2019-01-23,0.35
2019-01-24,0.35
2019-01-25,0.37
2019-01-28,0.33
2019-01-29,0.3
2019-01-30,0.28
2019-01-31,0.22
2019-02-01,0.3
2019-02-04,0.31
2019-02-05,0.29
2019-02-06,0.28
2019-02-07,0.23
2019-02-08,0.2
2019-02-11,0.2
2019-02-12,0.25
2019-02-13,0.27
2019-02-14,0.23
2019-02-15,0.23
2019-02-18,.
2019-02-19,0.2
2019-02-20,0.2
2019-02-21,0.24
2019-02-22,0.19
2019-02-25,0.2
2019-02-26,0.19
2019-02-27,0.24
2019-02-28,0.28
2019-03-01,0.32
2019-03-04,0.26
2019-03-05,0.26
2019-03-06,0.22
2019-03-07,0.19
2019-03-08,0.16
2019-03-11,0.18
2019-03-12,0.15
2019-03-13,0.16
2019-03-14,0.18
2019-03-15,0.14
2019-03-18,0.16
2019-03-19,0.15
2019-03-20,0.06
2019-03-21,0.05
2019-03-22,-0.02
2019-03-25,-0.03
2019-03-26,-0.05
2019-03-27,-0.05
2019-03-28,-0.04
2019-03-29,0.01
2019-04-01,0.06
2019-04-02,0.06
2019-04-03,0.08
2019-04-04,0.07
2019-04-05,0.06
2019-04-08,0.09
2019-04-09,0.09
2019-04-10,0.05
2019-04-11,0.08
2019-04-12,0.12
2019-04-15,0.12
2019-04-16,0.17
2019-04-17,0.15
2019-04-18,0.15
2019-04-19,.
2019-04-22,0.15
2019-04-23,0.12
2019-04-24,0.09
2019-04-25,0.11
2019-04-26,0.09
2019-04-29,0.1
2019-04-30,0.08
2019-05-01,0.09
2019-05-02,0.08
2019-05-03,0.11
2019-05-06,0.07
2019-05-07,0.02
2019-05-08,0.06
2019-05-09,0.02
2019-05-10,0.04
2019-05-13,-0.01
2019-05-14,0.01
2019-05-15,-0.05
2019-05-16,0.0
2019-05-17,0.0
2019-05-20,0.02
2019-05-21,0.04
2019-05-22,0.01
2019-05-23,-0.06
2019-05-24,-0.03
2019-05-27,.
2019-05-28,-0.11
2019-05-29,-0.12
2019-05-30,-0.16
2019-05-31,-0.21
2019-06-03,-0.28
2019-06-04,-0.23
2019-06-05,-0.23
2019-06-06,-0.21
2019-06-07,-0.19
2019-06-10,-0.14
2019-06-11,-0.12
2019-06-12,-0.11
2019-06-13,-0.09
2019-06-14,-0.11
2019-06-17,-0.14
2019-06-18,-0.16
2019-06-19,-0.15
2019-06-20,-0.13
2019-06-21,-0.04
2019-06-24,-0.11
2019-06-25,-0.12
2019-06-26,-0.1
2019-06-27,-0.13
2019-06-28,-0.12
2019-07-01,-0.18
2019-07-02,-0.22
2019-07-03,-0.25
2019-07-04,.
2019-07-05,-0.19
2019-07-08,-0.21
2019-07-09,-0.19
2019-07-10,-0.13
2019-07-11,-0.04
2019-07-12,-0.02
2019-07-15,-0.07
2019-07-16,-0.02
2019-07-17,-0.08
2019-07-18,-0.01
2019-07-19,-0.01
2019-07-22,-0.04
2019-07-23,0.02
2019-07-24,-0.05
2019-07-25,-0.02
2019-07-26,-0.04
2019-07-29,-0.06
2019-07-30,-0.02
2019-07-31,-0.06
2019-08-01,-0.17
2019-08-02,-0.2
2019-08-05,-0.3
2019-08-06,-0.32
2019-08-07,-0.31
2019-08-08,-0.3
2019-08-09,-0.26
2019-08-12,-0.35
2019-08-13,-0.32
2019-08-14,-0.37
2019-08-15,-0.39
2019-08-16,-0.32
2019-08-19,-0.34
2019-08-20,-0.39
2019-08-21,-0.38
2019-08-22,-0.38
2019-08-23,-0.45
2019-08-26,-0.47
2019-08-27,-0.49
2019-08-28,-0.52
2019-08-29,-0.49
2019-08-30,-0.49
2019-09-02,.
2019-09-03,-0.51
2019-09-04,-0.5
2019-09-05,-0.4
2019-09-06,-0.41
2019-09-09,-0.33
2019-09-10,-0.23
2019-09-11,-0.21
2019-09-12,-0.16
2019-09-13,-0.06
2019-09-16,-0.15
2019-09-17,-0.18
2019-09-18,-0.15
2019-09-19,-0.14
2019-09-20,-0.17
2019-09-23,-0.22
2019-09-24,-0.28
2019-09-25,-0.16
2019-09-26,-0.13
2019-09-27,-0.11
2019-09-30,-0.2
2019-10-01,-0.17
2019-10-02,-0.19
2019-10-03,-0.16
2019-10-04,-0.19
2019-10-07,-0.19
2019-10-08,-0.18
2019-10-09,-0.1
2019-10-10,-0.01
2019-10-11,0.08
2019-10-14,.
2019-10-15,0.1
2019-10-16,0.09
2019-10-17,0.1
2019-10-18,0.1
2019-10-21,0.13
2019-10-22,0.13
2019-10-23,0.12
2019-10-24,0.1
2019-10-25,0.14
2019-10-28,0.2
2019-10-29,0.21
2019-10-30,0.16
2019-10-31,0.15
2019-11-01,0.21
2019-11-04,0.26
2019-11-05,0.3
2019-11-06,0.25
2019-11-07,0.36
2019-11-08,0.39
2019-11-11,.
2019-11-12,0.33
2019-11-13,0.31
2019-11-14,0.25
2019-11-15,0.27
2019-11-18,0.24
2019-11-19,0.22
2019-11-20,0.16
2019-11-21,0.19
2019-11-22,0.19
2019-11-25,0.15
2019-11-26,0.14
2019-11-27,0.15
