Date,Price
2019-06-03,1313.95
2019-06-04,1323.60
2019-06-05,1337.75
2019-06-06,1336.65
2019-06-07,1334.30
2019-06-10,1328.60
2019-06-11,1322.65
2019-06-12,1336.65
2019-06-13,1335.80
2019-06-14,1352.45
2019-06-17,1333.20
2019-06-18,1344.55
2019-06-19,1342.40
2019-06-20,1381.65
2019-06-21,1388.35
2019-06-24,1405.45
2019-06-25,1429.55
2019-06-26,1406.75
2019-06-27,1402.25
2019-06-28,1413.20
2019-07-01,1390.05
2019-07-02,1393.10
2019-07-03,1425.10
2019-07-04,1415.25
2019-07-05,1414.40
2019-07-08,1404.90
2019-07-09,1387.90
2019-07-10,1395.45
2019-07-11,1423.10
2019-07-12,1405.60
2019-07-15,1416.25
2019-07-16,1416.10
2019-07-17,1400.80
2019-07-18,1420.90
2019-07-19,1437.05
2019-07-22,1424.45
2019-07-23,1417.55
2019-07-24,1425.55
2019-07-25,1426.35
2019-07-26,1418.25
2019-07-29,1418.95
2019-07-30,1428.45
2019-07-31,1430.55
2019-08-01,1406.40
2019-08-02,1436.05
2019-08-05,1457.45
2019-08-06,1461.85
2019-08-07,1487.65
2019-08-08,1497.40
2019-08-09,1503.50
2019-08-12,1501.95
2019-08-13,1527.20
2019-08-14,1500.35
2019-08-15,1517.65
2019-08-16,1509.05
2019-08-19,1499.35
2019-08-20,1502.65
2019-08-21,1499.65
2019-08-22,1498.70
2019-08-23,1495.50
2019-08-26,.
2019-08-27,1531.85
2019-08-28,1541.75
2019-08-29,1536.65
2019-08-30,1526.55
2019-09-02,1523.35
2019-09-03,1532.45
2019-09-04,1538.80
2019-09-05,1542.60
2019-09-06,1504.95
2019-09-09,1509.95
2019-09-10,1494.60
2019-09-11,1493.65
2019-09-12,1502.95
2019-09-13,1506.30
2019-09-16,1502.05
2019-09-17,1499.30
2019-09-18,1502.20
2019-09-19,1498.40
2019-09-20,1504.10
2019-09-23,1519.50
2019-09-24,1520.25
2019-09-25,1530.85
2019-09-26,1507.05
2019-09-27,1496.15
2019-09-30,1487.60
2019-10-01,1466.10
2019-10-02,1484.05
2019-10-03,1504.00
2019-10-04,1509.50
2019-10-07,1502.15
2019-10-08,1500.00
2019-10-09,1503.40
2019-10-10,1508.20
2019-10-11,1498.35
