,Date,Price,Asset
0,2019-01-27,55.17,crude
1,2019-01-20,53.3,crude
2,2019-01-13,53.67,crude
3,2019-01-06,51.64,crude
4,2018-12-30,48.18,crude
5,2018-12-23,44.92,crude
6,2018-12-16,45.08,crude
7,2018-12-09,51.17,crude
8,2018-12-02,52.05,crude
9,2018-11-25,50.6,crude
10,2018-11-18,50.89,crude
11,2018-11-11,56.81,crude
12,2018-11-04,59.8,crude
13,2018-10-28,62.77,crude
14,2018-10-21,67.5,crude
15,2018-10-14,69.39,crude
16,2018-10-07,71.56,crude
17,2018-09-30,74.5,crude
18,2018-09-23,73.78,crude
19,2018-09-16,71.09,crude
20,2018-09-09,69.17,crude
21,2018-09-02,68.17,crude
22,2018-08-26,70.49,crude
23,2018-08-19,69.34,crude
24,2018-08-12,66.08,crude
25,2018-08-05,68.23,crude
26,2018-07-29,69.42,crude
27,2018-07-22,70.07,crude
28,2018-07-15,69.47,crude
29,2018-07-08,70.59,crude
30,2018-07-01,74.0,crude
31,2018-06-24,74.39,crude
32,2018-06-17,69.35,crude
33,2018-06-10,64.35,crude
34,2018-06-03,65.55,crude
35,2018-05-27,65.71,crude
36,2018-05-20,67.42,crude
37,2018-05-13,71.39,crude
38,2018-05-06,70.52,crude
39,2018-04-29,69.78,crude
40,2018-04-22,67.98,crude
41,2018-04-15,68.09,crude
42,2018-04-08,67.31,crude
43,2018-04-01,61.89,crude
44,2018-03-25,64.86,crude
45,2018-03-18,65.75,crude
46,2018-03-11,62.26,crude
47,2018-03-04,62.18,crude
48,2018-02-25,61.52,crude
49,2018-02-18,63.65,crude
50,2018-02-11,61.65,crude
51,2018-02-04,59.09,crude
52,2018-01-28,65.12,crude
53,2018-01-21,66.31,crude
54,2018-01-14,63.56,crude
55,2018-01-07,64.38,crude
56,2017-12-31,61.55,crude
57,2017-12-24,60.23,crude
58,2017-12-17,58.44,crude
59,2017-12-10,57.31,crude
60,2017-12-03,57.25,crude
61,2017-11-26,58.17,crude
62,2017-11-19,58.68,crude
63,2017-11-12,56.61,crude
64,2017-11-05,56.81,crude
65,2017-10-29,55.59,crude
66,2017-10-22,54.0,crude
67,2017-10-15,51.84,crude
68,2017-10-08,51.31,crude
69,2017-10-01,49.03,crude
70,2017-09-24,51.34,crude
71,2017-09-17,50.27,crude
72,2017-09-10,49.8,crude
73,2017-09-03,47.49,crude
74,2017-08-27,47.33,crude
75,2017-08-20,47.83,crude
76,2017-08-13,48.63,crude
77,2017-08-06,48.8,crude
78,2017-07-30,49.52,crude
79,2017-07-23,49.77,crude
80,2017-07-16,45.59,crude
81,2017-07-09,46.64,crude
82,2017-07-02,44.33,crude
83,2017-06-25,46.34,crude
84,2017-06-18,43.12,crude
85,2017-06-11,44.7,crude
86,2017-06-04,45.94,crude
87,2017-05-28,47.77,crude
88,2017-05-21,49.84,crude
89,2017-05-14,50.49,crude
90,2017-05-07,47.86,crude
91,2017-04-30,46.47,crude
92,2017-04-23,49.2,crude
93,2017-04-16,49.63,crude
94,2017-04-09,52.93,crude
95,2017-04-02,52.33,crude
96,2017-03-26,50.79,crude
97,2017-03-19,48.13,crude
98,2017-03-12,48.68,crude
99,2017-03-05,48.38,crude
100,2017-02-26,53.2,crude
101,2017-02-19,54.0,crude
102,2017-02-12,53.38,crude
103,2017-02-05,53.84,crude
104,2017-01-29,53.84,crude
105,2017-01-22,53.17,crude
106,2017-01-15,52.48,crude
107,2017-01-08,52.53,crude
108,2017-01-01,53.69,crude
109,2016-12-25,53.89,crude
110,2016-12-18,53.24,crude
111,2016-12-11,52.03,crude
112,2016-12-04,51.48,crude
113,2016-11-27,51.67,crude
114,2016-11-20,45.96,crude
115,2016-11-13,45.5,crude
116,2016-11-06,43.16,crude
117,2016-10-30,44.14,crude
118,2016-10-23,48.66,crude
119,2016-10-16,50.95,crude
120,2016-10-09,50.33,crude
121,2016-10-02,49.62,crude
122,2016-09-25,48.05,crude
123,2016-09-18,44.61,crude
124,2016-09-11,43.14,crude
125,2016-09-04,45.72,crude
126,2016-08-28,44.24,crude
127,2016-08-21,47.3,crude
128,2016-08-14,48.48,crude
129,2016-08-07,44.73,crude
130,2016-07-31,41.98,crude
131,2016-07-24,41.38,crude
132,2016-07-17,44.27,crude
133,2016-07-10,46.26,crude
134,2016-07-03,45.16,crude
135,2016-06-26,49.26,crude
136,2016-06-19,47.61,crude
137,2016-06-12,48.22,crude
138,2016-06-05,48.92,crude
139,2016-05-29,48.85,crude
140,2016-05-22,49.55,crude
141,2016-05-15,47.47,crude
142,2016-05-08,46.35,crude
143,2016-05-01,44.61,crude
144,2016-04-24,46.0,crude
145,2016-04-17,43.72,crude
146,2016-04-10,40.41,crude
147,2016-04-03,39.67,crude
148,2016-03-27,36.7,crude
149,2016-03-20,39.52,crude
150,2016-03-13,40.53,crude
151,2016-03-06,38.48,crude
152,2016-02-28,36.31,crude
153,2016-02-21,32.79,crude
154,2016-02-14,29.87,crude
155,2016-02-07,29.12,crude
156,2016-01-31,30.99,crude
157,2016-01-24,33.75,crude
158,2016-01-17,32.25,crude
159,2016-01-10,29.71,crude
160,2016-01-03,32.91,crude
161,2015-12-27,37.11,crude
162,2015-12-20,38.11,crude
163,2015-12-13,34.49,crude
