Date,Price,Open,High,Low,Vol.,Change %
"May 26, 2019",2752.06,"2,830.03","2,840.51","2,750.52",-,-2.62%
"May 19, 2019",2826.06,"2,841.94","2,868.88","2,805.49",-,-1.17%
"May 12, 2019",2859.53,"2,840.19","2,892.15","2,801.43",-,-0.76%
"May 05, 2019",2881.40,"2,908.89","2,937.32","2,825.39",-,-2.18%
"Apr 28, 2019",2945.64,"2,940.58","2,954.13","2,900.50",-,0.20%
"Apr 21, 2019",2939.88,"2,898.78","2,939.88","2,896.35",-,1.20%
"Apr 14, 2019",2905.03,"2,908.32","2,918.00","2,891.90",-,-0.08%
"Apr 07, 2019",2907.41,"2,888.46","2,910.54","2,873.33",-,0.51%
"Mar 31, 2019",2892.74,"2,848.63","2,893.24","2,848.63",-,2.06%
"Mar 24, 2019",2834.40,"2,796.01","2,836.03","2,785.02",-,1.20%
"Mar 17, 2019",2800.71,"2,822.61","2,860.31","2,800.47",-,-0.77%
"Mar 10, 2019",2822.48,"2,747.61","2,830.73","2,747.61",-,2.89%
"Mar 03, 2019",2743.07,"2,814.37","2,816.88","2,722.27",-,-2.16%
"Feb 24, 2019",2803.69,"2,804.35","2,813.49","2,775.13",-,0.39%
"Feb 17, 2019",2792.67,"2,769.28","2,794.20","2,764.55",-,0.61%
"Feb 10, 2019",2775.60,"2,712.40","2,775.66","2,703.79",-,2.50%
"Feb 03, 2019",2707.88,"2,706.49","2,738.98","2,681.83",-,0.05%
"Jan 27, 2019",2706.53,"2,644.97","2,716.66","2,624.06",-,1.57%
"Jan 20, 2019",2664.76,"2,657.88","2,672.38","2,612.86",-,-0.22%
"Jan 13, 2019",2670.71,"2,580.31","2,675.47","2,570.41",-,2.87%
"Jan 06, 2019",2596.26,"2,535.61","2,597.82","2,524.56",-,2.54%
"Dec 30, 2018",2531.94,"2,498.94","2,538.07","2,443.96",-,1.86%
"Dec 23, 2018",2485.74,"2,400.56","2,520.27","2,346.58",-,2.86%
"Dec 16, 2018",2416.62,"2,590.75","2,601.13","2,408.55",-,-7.05%
"Dec 09, 2018",2599.95,"2,630.86","2,685.44","2,583.23",-,-1.26%
"Dec 02, 2018",2633.08,"2,790.50","2,800.18","2,621.53",-,-4.60%
"Nov 25, 2018",2760.17,"2,649.97","2,760.88","2,649.97",-,4.85%
"Nov 18, 2018",2632.56,"2,730.74","2,733.16","2,631.09",-,-3.79%
"Nov 11, 2018",2736.27,"2,773.93","2,775.99","2,670.75",-,-1.61%
"Nov 04, 2018",2781.01,"2,726.37","2,815.15","2,717.94",-,2.13%
"Oct 28, 2018",2723.06,"2,682.65","2,756.55","2,603.54",-,2.42%
"Oct 21, 2018",2658.69,"2,773.94","2,778.94","2,628.16",-,-3.94%
"Oct 14, 2018",2767.78,"2,763.83","2,816.94","2,749.03",-,0.02%
"Oct 07, 2018",2767.13,"2,877.53","2,894.83","2,710.51",-,-4.10%
"Sep 30, 2018",2885.57,"2,926.29","2,939.86","2,869.29",-,-0.97%
"Sep 23, 2018",2913.98,"2,921.83","2,931.15","2,903.28",-,-0.54%
"Sep 16, 2018",2929.67,"2,903.83","2,940.91","2,886.16",-,0.85%
"Sep 09, 2018",2904.98,"2,881.39","2,908.30","2,866.78",-,1.16%
"Sep 02, 2018",2871.68,"2,896.96","2,900.18","2,864.12",-,-1.03%
"Aug 26, 2018",2901.52,"2,884.69","2,916.50","2,884.69",-,0.93%
"Aug 19, 2018",2874.69,"2,853.93","2,876.16","2,850.62",-,0.86%
"Aug 12, 2018",2850.13,"2,835.46","2,855.63","2,802.49",-,0.59%
"Aug 05, 2018",2833.28,"2,840.29","2,863.43","2,825.81",-,-0.25%
"Jul 29, 2018",2840.35,"2,819.00","2,840.38","2,796.34",-,0.76%
"Jul 22, 2018",2818.82,"2,799.17","2,848.03","2,795.14",-,0.61%
"Jul 15, 2018",2801.83,"2,801.43","2,816.76","2,789.24",-,0.02%
"Jul 08, 2018",2801.31,"2,768.51","2,804.53","2,768.51",-,1.50%
"Jul 01, 2018",2759.82,"2,704.95","2,764.41","2,698.95",-,1.52%
"Jun 24, 2018",2718.37,"2,742.94","2,746.09","2,691.99",-,-1.33%
"Jun 17, 2018",2754.88,"2,765.79","2,774.99","2,743.19",-,-0.89%
"Jun 10, 2018",2779.66,"2,780.18","2,791.47","2,761.73",-,0.02%
"Jun 03, 2018",2779.03,"2,741.67","2,779.90","2,739.51",-,1.62%
"May 27, 2018",2734.62,"2,705.11","2,736.93","2,676.81",-,0.49%
"May 20, 2018",2721.33,"2,725.95","2,742.24","2,707.38",-,0.31%
"May 13, 2018",2712.97,"2,733.37","2,742.10","2,701.91",-,-0.54%
"May 06, 2018",2727.72,"2,669.36","2,732.86","2,655.20",-,2.41%
"Apr 29, 2018",2663.42,"2,675.05","2,682.92","2,594.62",-,-0.24%
"Apr 22, 2018",2669.91,"2,675.40","2,683.55","2,612.67",-,-0.01%
"Apr 15, 2018",2670.14,"2,670.10","2,717.49","2,660.61",-,0.52%
"Apr 08, 2018",2656.30,"2,617.18","2,680.26","2,610.79",-,1.99%
