Date,Cluster,crude,gold,nifty,sp500,teny_to_3m,teny_to_twoy,twoy,unemployment
2000-12-24,cluster_6,26.8,272.0,1263.55,1320.28,-0.25,-0.08,5.1,5634.0
2000-12-31,cluster_6,27.95,268.0,1327.25,1298.35,-0.77,0.01,5.11,5634.0
2001-01-07,cluster_6,30.05,263.9,1286.75,1318.55,-0.19,0.37,4.56,6023.0
2001-01-14,cluster_6,32.19,264.3,1329.1,1342.54,-0.08,0.35,4.9,6023.0
2001-01-21,cluster_2,29.77,262.8,1370.1,1354.95,-0.05,0.44,4.75,6023.0
2001-01-28,cluster_4,31.19,267.1,1378.85,1349.47,0.12,0.51,4.78,6023.0
2001-02-04,cluster_7,31.03,259.9,1405.7,1314.76,0.11,0.52,4.65,6089.0
2001-02-11,cluster_3,29.16,258.2,1381.35,1301.53,-0.03,0.36,4.67,6089.0
2001-02-18,cluster_3,29.04,260.9,1320.45,1245.86,0.09,0.36,4.75,6089.0
2001-02-25,cluster_3,27.84,262.1,1306.35,1234.18,0.21,0.57,4.53,6089.0
2001-03-04,cluster_3,27.95,270.8,1254.75,1233.42,0.11,0.47,4.48,6141.0
2001-03-11,cluster_3,26.74,258.1,1193.55,1150.53,0.23,0.48,4.47,6141.0
2001-03-18,cluster_3,27.3,261.5,1161.3,1139.83,0.24,0.52,4.26,6141.0
2001-03-25,cluster_6,26.29,257.9,1148.2,1160.33,0.51,0.56,4.24,6141.0
2001-04-01,cluster_6,27.16,260.0,1139.6,1128.43,0.63,0.75,4.18,6271.0
2001-04-08,cluster_6,28.25,260.1,1024.9,1183.5,0.95,0.82,4.07,6271.0
2001-04-15,cluster_6,27.28,264.8,1144.0,1242.98,1.16,0.81,4.36,6271.0
2001-04-22,cluster_6,28.27,263.9,1101.3,1253.05,1.52,1.03,4.26,6271.0
2001-04-29,cluster_6,28.36,266.1,1130.05,1266.61,1.49,1.06,4.28,6271.0
2001-05-06,cluster_6,28.55,267.9,1140.5,1245.67,1.47,1.07,4.14,6226.0
2001-05-13,cluster_6,29.91,287.4,1172.8,1291.96,1.73,1.15,4.36,6226.0
2001-05-20,cluster_6,28.38,277.9,1174.9,1277.89,1.8,1.04,4.37,6226.0
2001-05-27,cluster_6,27.93,266.4,1148.05,1260.67,1.86,1.21,4.31,6226.0
2001-06-03,cluster_6,28.2,273.4,1126.6,1264.96,1.72,1.17,4.22,6484.0
2001-06-10,cluster_6,28.51,271.2,1087.75,1214.36,1.74,1.21,4.17,6484.0
2001-06-17,cluster_6,26.83,272.3,1087.65,1225.35,1.75,1.26,4.01,6484.0
2001-06-24,cluster_5,26.25,270.6,1107.9,1224.38,1.69,1.21,3.93,6484.0
2001-07-01,cluster_5,28.21,265.9,1065.1,1190.59,1.77,1.17,4.25,6583.0
2001-07-08,cluster_5,26.59,267.1,1110.45,1215.68,1.78,1.25,4.16,6583.0
2001-07-15,cluster_5,25.72,269.9,1077.7,1210.85,1.65,1.15,4.12,6583.0
2001-07-22,cluster_5,27.02,267.4,1051.7,1205.82,1.62,1.17,3.98,6583.0
2001-07-29,cluster_5,27.62,267.9,1074.6,1214.35,1.58,1.26,3.87,6583.0
2001-08-05,cluster_5,28.05,273.9,1071.15,1190.16,1.68,1.29,3.91,7042.0
2001-08-12,cluster_5,26.68,279.3,1069.2,1161.97,1.56,1.26,3.73,7042.0
2001-08-19,cluster_5,26.9,272.5,1069.15,1184.93,1.48,1.17,3.67,7042.0
2001-08-26,cluster_5,27.2,274.4,1053.75,1133.58,1.51,1.17,3.76,7042.0
2001-09-02,cluster_5,28.03,273.1,1035.2,1085.78,1.48,1.21,3.64,7142.0
2001-09-09,cluster_5,30.23,290.2,919.7,1092.54,1.53,1.27,3.53,7142.0
2001-09-16,cluster_5,25.97,291.9,854.2,965.8,1.93,1.7,2.87,7142.0
2001-09-23,cluster_5,23.36,292.4,913.85,1040.94,2.45,1.79,2.91,7142.0
2001-09-30,cluster_5,23.05,291.4,914.6,1071.38,2.2,1.74,2.86,7142.0
2001-10-07,cluster_5,23.06,284.9,960.4,1091.65,2.33,1.81,2.71,7694.0
2001-10-14,cluster_5,21.7,280.1,976.65,1073.48,2.43,1.87,2.81,7694.0
2001-10-21,cluster_5,22.0,277.9,983.2,1104.61,2.44,1.86,2.77,7694.0
2001-10-28,cluster_5,20.02,279.8,997.6,1087.2,2.39,1.9,2.63,7694.0
2001-11-04,cluster_5,22.25,277.4,1004.05,1120.31,2.36,1.89,2.48,8003.0
2001-11-11,cluster_5,17.9,274.7,1035.7,1138.65,2.51,1.89,2.45,8003.0
2001-11-18,cluster_5,19.37,272.9,1059.0,1150.34,2.96,1.82,3.09,8003.0
2001-11-25,cluster_5,19.44,273.9,1067.15,1139.45,3.09,1.84,3.2,8003.0
2001-12-02,cluster_5,19.04,273.9,1112.3,1158.31,3.0,1.94,2.84,8258.0
2001-12-09,cluster_5,19.23,278.0,1087.85,1123.09,3.51,2.01,3.19,8258.0
2001-12-16,cluster_5,19.62,278.0,1050.85,1144.89,3.51,2.04,3.2,8258.0
2001-12-23,cluster_5,20.41,276.5,1033.8,1161.02,3.41,1.95,3.17,8258.0
2001-12-30,cluster_5,21.18,278.9,1096.2,1172.51,3.43,1.99,3.16,8258.0
2002-01-06,cluster_5,20.34,287.4,1088.55,1145.6,3.46,1.99,3.19,8182.0
2002-01-13,cluster_5,18.48,283.1,1093.15,1127.58,3.34,2.16,2.76,8182.0
2002-01-20,cluster_5,19.85,278.8,1080.1,1133.28,3.32,2.03,2.91,8182.0
2002-01-27,cluster_5,19.2,286.0,1081.65,1122.2,3.38,1.93,3.17,8182.0
2002-02-03,cluster_2,19.99,303.5,1123.75,1096.22,3.26,1.94,3.08,8215.0
2002-02-10,cluster_2,21.51,298.4,1159.95,1104.18,3.17,1.95,2.95,8215.0
2002-02-17,cluster_2,20.98,293.2,1163.5,1089.84,3.12,1.89,2.97,8215.0
2002-02-24,cluster_2,22.18,298.0,1178.0,1131.78,3.08,1.87,2.97,8215.0
2002-03-03,cluster_2,23.65,290.1,1187.65,1164.31,3.21,1.8,3.18,8304.0
2002-03-10,cluster_2,24.48,289.9,1169.75,1166.16,3.52,1.73,3.6,8304.0
2002-03-17,cluster_2,25.43,297.3,1138.45,1148.7,3.49,1.72,3.63,8304.0
2002-03-24,cluster_2,26.12,302.6,1129.55,1147.39,3.56,1.63,3.77,8304.0
2002-03-31,cluster_2,26.24,300.1,1141.95,1122.73,3.63,1.7,3.72,8304.0
2002-04-07,cluster_2,23.85,302.1,1146.5,1111.01,3.46,1.73,3.49,8599.0
2002-04-14,cluster_2,26.32,302.3,1100.3,1125.17,3.47,1.77,3.41,8599.0
2002-04-21,cluster_2,27.01,311.6,1097.4,1076.32,3.48,1.85,3.36,8599.0
2002-04-28,cluster_2,26.48,312.2,1096.95,1073.43,3.33,1.86,3.22,8599.0
2002-05-05,cluster_2,27.69,311.0,1116.4,1054.99,3.32,1.91,3.17,8399.0
2002-05-12,cluster_2,28.05,310.6,1090.65,1106.59,3.38,1.96,3.19,8399.0
2002-05-19,cluster_2,25.77,320.4,1067.0,1083.82,3.51,1.86,3.41,8399.0
2002-05-26,cluster_2,25.02,326.5,1028.8,1067.14,3.42,1.88,3.28,8399.0
2002-06-02,cluster_2,24.75,324.6,1048.8,1027.53,3.34,1.86,3.22,8393.0
2002-06-09,cluster_2,25.92,319.1,1085.7,1007.27,3.36,1.94,3.16,8393.0
2002-06-16,cluster_2,25.62,324.6,1062.55,989.14,3.12,1.91,2.92,8393.0
2002-06-23,cluster_2,26.8,313.5,1057.8,989.82,3.07,1.91,2.88,8393.0
2002-06-30,cluster_2,26.59,310.9,1073.8,989.03,3.16,1.96,2.9,8393.0
2002-07-07,cluster_2,27.48,315.6,1058.25,921.39,3.18,2.0,2.9,8390.0
2002-07-14,cluster_2,27.56,323.9,1035.9,847.75,2.92,2.07,2.56,8390.0
2002-07-21,cluster_2,26.55,303.4,973.5,852.84,2.9,2.13,2.48,8390.0
2002-07-28,cluster_2,26.23,307.0,954.75,864.24,2.74,2.23,2.2,8390.0
2002-08-04,cluster_2,26.74,314.2,961.95,908.64,2.7,2.34,1.99,8304.0
2002-08-11,cluster_2,29.29,313.7,979.25,928.77,2.65,2.17,2.1,8304.0
2002-08-18,cluster_2,28.62,306.7,995.2,940.86,2.7,2.04,2.28,8304.0
2002-08-25,cluster_2,28.99,312.4,1010.6,916.07,2.6,2.06,2.19,8304.0
2002-09-01,cluster_2,29.82,319.9,995.2,893.92,2.45,2.0,2.14,8251.0
2002-09-08,cluster_2,29.43,316.6,992.0,889.81,2.39,1.97,2.08,8251.0
2002-09-15,cluster_2,29.62,321.9,969.6,845.39,2.23,1.85,2.07,8251.0
2002-09-22,cluster_2,30.55,319.7,976.45,827.37,2.14,1.85,1.94,8251.0
2002-09-29,cluster_2,29.6,322.1,948.2,800.58,2.06,1.87,1.82,8251.0
2002-10-06,cluster_9,29.24,316.3,971.05,835.32,2.08,1.91,1.78,8307.0
2002-10-13,cluster_9,29.51,312.7,971.65,884.39,2.25,1.98,1.85,8307.0
2002-10-20,cluster_9,27.5,313.4,932.2,897.65,2.47,2.05,2.09,8307.0
2002-10-27,cluster_9,27.28,318.8,951.45,900.96,2.48,2.14,1.98,8307.0
2002-11-03,cluster_9,25.6,321.3,956.95,894.74,2.58,2.25,1.76,8520.0
2002-11-10,cluster_9,25.38,320.7,990.35,909.83,2.63,1.98,1.87,8520.0
2002-11-17,cluster_9,26.57,320.7,1020.15,930.55,2.83,2.14,1.91,8520.0
2002-11-24,cluster_9,26.79,316.8,1050.15,936.31,2.95,2.08,2.1,8520.0
2002-12-01,cluster_9,27.12,326.3,1069.8,912.23,3.0,2.14,2.08,8640.0
2002-12-08,cluster_9,28.48,333.2,1086.2,889.48,2.88,2.2,1.89,8640.0
2002-12-15,cluster_9,30.02,340.5,1079.3,895.76,2.86,2.2,1.87,8640.0
2002-12-22,cluster_9,32.55,349.2,1098.4,875.4,2.76,2.21,1.76,8640.0
2002-12-29,cluster_9,32.71,351.2,1089.6,908.59,2.67,2.23,1.6,8640.0
2003-01-05,cluster_9,31.5,354.5,1080.25,927.57,2.83,2.26,1.79,8520.0
2003-01-12,cluster_9,33.65,356.6,1086.5,901.78,2.96,2.37,1.79,8520.0
2003-01-19,cluster_9,33.27,368.2,1056.05,861.4,2.87,2.35,1.7,8520.0
2003-01-26,cluster_9,33.56,368.3,1041.85,855.7,2.78,2.28,1.66,8520.0
2003-02-02,cluster_9,35.05,369.9,1057.5,829.69,2.82,2.28,1.72,8618.0
